
===== ProcSpy Snapshot - Mon Jul 28 12:50:30 2025 =====
CPU Usage: 9.55%
Memory Usage: 71.65%, Free: 28.35 MB

PID      PPID     THR   STAT  PRI   NI    VmSize     VmRSS      USER       CMD                       CPU%     MEM%     TIME    
1        0        1     S     20    0     22         13         root        systemd                   0.0%      0.3%    00:01
409      1        1     S     20    0     110        21         root        systemd-journal           0.0%      0.6%    00:00
455      1        3     S     20    0     148        1          root        vmware-vmblock-           0.0%      0.0%    00:00
470      1        1     S     20    0     29         5          root        systemd-udevd             0.0%      0.1%    00:00
631      1        1     S     20    0     8          1          root        haveged                   0.0%      0.0%    00:00
635      1        4     S     20    0     301        6          root        accounts-daemon           0.0%      0.2%    00:00
636      1        1     S     20    0     8          5          messagebus  dbus-daemon               0.0%      0.1%    00:00
639      1        4     S     20    0     373        8          polkitd     polkitd                   0.0%      0.2%    00:00
640      1        1     S     20    0     17         7          root        systemd-logind            0.0%      0.2%    00:00
641      1        4     S     20    0     110        8          root        vmtoolsd                  0.1%      0.2%    00:04
659      1        1     S     20    0     6          2          root        cron                      0.0%      0.1%    00:00
695      1        4     S     20    0     327        16         root        NetworkManager            0.0%      0.4%    00:00
748      1        4     S     20    0     309        7          root        ModemManager              0.0%      0.2%    00:00
922      1        4     S     20    0     373        6          root        lightdm                   0.0%      0.2%    00:00
941      922      2     S     20    0     449        164        root        Xorg                      4.3%      4.2%    02:11
942      1        1     S     20    0     7          2          root        agetty                    0.0%      0.1%    00:00
1035     1        3     S     21    1     20         2          rtkit       rtkit-daemon              0.0%      0.1%    00:00
1114     922      4     S     20    0     167        7          root        lightdm                   0.0%      0.2%    00:00
1122     1        1     S     20    0     21         11         venom       systemd                   0.0%      0.3%    00:00
1123     1122     1     S     20    0     21         2          venom       (sd-pam)                  0.0%      0.1%    00:00
1138     1122     1     S     20    0     8          4          venom       dbus-daemon               0.0%      0.1%    00:00
1139     1122     3     S     9     -11   107        11         venom       pipewire                  0.0%      0.3%    00:00
1140     1122     2     S     20    0     82         4          venom       pipewire                  0.0%      0.1%    00:00
1142     1122     6     S     9     -11   559        19         venom       wireplumber               0.0%      0.5%    00:00
1143     1122     3     S     9     -11   167        9          venom       pipewire-pulse            0.0%      0.3%    00:00
1144     1122     5     S     20    0     178        8          venom       gnome-keyring-d           0.0%      0.2%    00:00
1166     1114     4     S     20    0     335        25         venom       xfce4-session             0.0%      0.6%    00:01
1216     1166     1     S     20    0     10         0          venom       ssh-agent                 0.0%      0.0%    00:00
1226     1122     5     S     20    0     374        6          venom       at-spi-bus-laun           0.0%      0.2%    00:00
1233     1226     1     S     20    0     7          4          venom       dbus-daemon               0.0%      0.1%    00:00
1238     1122     4     S     20    0     300        6          venom       xfconfd                   0.0%      0.2%    00:00
1244     1122     4     S     20    0     166        7          venom       at-spi2-registr           0.0%      0.2%    00:01
1257     1122     1     S     20    0     79         2          venom       gpg-agent                 0.0%      0.1%    00:00
1259     1166     13    S     20    0     1260       104        venom       xfwm4                     1.2%      2.7%    00:35
1263     1122     4     S     20    0     304        6          venom       gvfsd                     0.0%      0.2%    00:00
1269     1122     7     S     20    0     382        10         venom       gvfsd-fuse                0.0%      0.3%    00:00
1294     1166     4     S     20    0     232        23         venom       xfsettingsd               0.0%      0.6%    00:01
1298     1        4     S     20    0     309        7          root        upowerd                   0.0%      0.2%    00:00
1305     1166     4     S     20    0     530        40         venom       xfce4-panel               0.1%      1.0%    00:03
1310     1166     4     S     20    0     605        47         venom       Thunar                    0.1%      1.2%    00:02
1316     1166     4     S     20    0     489        47         venom       xfdesktop                 0.1%      1.2%    00:01
1317     1305     4     S     20    0     389        38         venom       panel-1-whisker           0.0%      1.0%    00:00
1324     1305     4     S     20    0     376        35         venom       panel-13-cpugra           0.3%      0.9%    00:09
1325     1305     4     S     20    0     338        22         venom       panel-14-systra           0.0%      0.6%    00:00
1326     1305     4     S     20    0     340        22         venom       panel-15-genmon           0.2%      0.6%    00:04
1327     1305     4     S     20    0     457        37         venom       panel-16-pulsea           0.0%      0.9%    00:00
1328     1305     4     S     20    0     460        33         venom       panel-17-notifi           0.0%      0.9%    00:00
1329     1305     4     S     20    0     388        33         venom       panel-18-power-           0.0%      0.8%    00:00
1338     1305     4     S     20    0     388        36         venom       panel-22-action           0.0%      0.9%    00:00
1364     1122     4     S     20    0     409        32         venom       xfce4-notifyd             0.0%      0.8%    00:00
1389     1166     4     S     20    0     189        16         venom       xfce4-power-man           0.0%      0.4%    00:00
1404     1166     5     S     20    0     265        22         venom       light-locker              0.0%      0.6%    00:00
1405     1166     4     S     20    0     188        15         venom       polkit-gnome-au           0.0%      0.4%    00:00
1420     1        3     S     20    0     146        36         venom       vmtoolsd                  0.2%      0.9%    00:04
1464     1122     4     S     20    0     161        5          venom       dconf-service             0.0%      0.1%    00:00
